code	category
00031059	plant-based-foods
00031394	cakes
00031394	biscuits-and-cakes
00031394	sugary-snacks
00031858	meals
00031858	plant-based-foods-and-beverages
00031858	soups
00031858	cream-soups
00031858	plant-based-foods
00031858	fruits-and-vegetables-based-foods
00031858	vegetable-soups
00031858	cream-of-vegetable-soups
00032582	chocolate-molds
00032582	sugary-snacks
00032582	chocolates
00033046	beef
00033046	meats
00033671	fermented-milk-products
00033671	fermented-foods
00033671	cheeses
00033671	dairies
00033671	cheeses-from-england
00033671	cheddar-cheese
00033671	cow-cheeses
00033671	cheeses-from-the-united-kingdom
00035460	meals
00035460	breaded-products
00035460	refrigerated-foods
00035460	refrigerated-meals
00036559	microwave-meals
00036559	meals
00040617	fresh-vegetables
00040617	lettuces
00040617	plant-based-foods-and-beverages
00040617	fresh-foods
00040617	plant-based-foods
00040617	fruits-and-vegetables-based-foods
00040617	vegetables-based-foods
00040617	fresh-plant-based-foods
00040617	leaf-vegetables
00041500007007	sauces
00041500007007	condiments
00041500007007	groceries
00041500007007	mustards
00043366	meals
00043366	plant-based-foods-and-beverages
00043366	refrigerated-meals
00043366	plant-based-meals
00043366	refrigerated-foods
00043366	prepared-salads
00043366	plant-based-foods
0004394	plant-based-foods-and-beverages
0004394	fruits-and-vegetables-based-foods
0004394	fruits
0004394	plant-based-foods
0004394	fruits-based-foods
00045889	pies
00045889	christmas-foods-and-drinks
00045889	tartlets
00047524	ham-sandwiches
00047524	sandwiches
00047524	sandwiches-filled-with-cold-cuts
00047852	shortbread
00047852	sugary-snacks
00047852	biscuits
00047852	shortbread-cookies
00047852	biscuits-and-cakes
00050319	beverages
00050319	alcoholic-beverages
00050678	beverages
00050678	non-sugared-beverages
00050678	non-alcoholic-beverages
00050678	artificially-sweetened-beverages
00050678	carbonated-drinks
00051248	appetizers
00051248	potato-crisps
00051248	plant-based-foods-and-beverages
00051248	cereals-and-potatoes
00051248	salty-snacks
00051248	plant-based-foods
00051248	flavoured-potato-crisps
00051248	crisps
00051248	chips-and-fries
00053327	plant-based-foods-and-beverages
00053327	cereals-and-potatoes
00053327	cereals-and-their-products
00053327	flours
00053327	plant-based-foods
00054379	plant-based-foods-and-beverages
00054379	canned-plant-based-foods
00054379	canned-fruits-in-juice
00054379	canned-fruits
00054379	canned-foods
00054379	fruits-and-vegetables-based-foods
00054379	plant-based-foods
00054379	fruits-based-foods
00054379	pineapple-in-juice
00058001	pastries
00058001	biscuits-and-cakes
00058001	sugary-snacks
00062114	cereals-and-potatoes
00062114	breads
00062114	plant-based-foods
00062114	plant-based-foods-and-beverages
00062855	plant-based-foods-and-beverages
00062855	flakes
00062855	cereals-and-potatoes
00062855	cereal-flakes
00062855	cereals-and-their-products
00062855	breakfast-cereals
00062855	breakfasts
00062855	mixed-cereal-flakes
00062855	plant-based-foods
00062855	mueslis
00062916	yogurts
00062916	fermented-milk-products
00062916	fermented-foods
00062916	dairies
00062916	low-fat-yogurts
00064491	plant-based-foods-and-beverages
00064491	vegetable-fats
00064491	sunflower-seeds-and-their-products
00064491	fats
00064491	vegetable-oils
00064491	plant-based-foods
00064491	sunflower-oils
00065252	pancakes
00065269	pancakes
00068789	herring
00068789	fishes
00068789	seafood
00070430	meals
00070430	meals-with-chicken
00070430	refrigerated-meals
00070430	two-crust-pies
00070430	meals-with-meat
00070430	poultry-meals
00070430	refrigerated-foods
00070430	meat-based-products
00071093	chocolate-molds
00071093	sugary-snacks
00071093	milk-chocolates
00071093	chocolates
00071093	licensed-products
00071185	chocolate-molds
00071185	sugary-snacks
00071185	chocolate-scupltures
00071185	chocolates
00071185	easter-chocolates
00071185	chocolate-dinosaurs
00071338	beverages
