code	country
0023896291581	united-states
0023896420653	united-states
0023896498508	united-states
0024	germany
0024000001645	france
0024000001645	united-states
0024000001966	germany
0024000001966	france
0024000001966	united-states
0024000003649	germany
0024000003649	united-states
0024000006435	united-states
0024000007203	netherlands
0024000010227	switzerland
0024000010227	france
0024000010227	united-states
0024000010418	belgium
0024000010418	switzerland
0024000010418	france
0024000010418	united-states
0024000010920	switzerland
0024000010920	united-states
0024000011484	switzerland
0024000011484	united-states
0024000011859	france
0024000011859	denmark
0024000011859	spain
0024000011859	united-states
0024000012306	france
0024000012306	netherlands
0024000013402	french-polynesia
0024000013976	united-states
0024000014430	switzerland
0024000024675	belgium
0024000024675	switzerland
0024000031710	united-states
0024000034094	united-states
0024000100201	france
0024000100546	france
0024000100911	france
0024000103127	france
0024000124962	united-kingdom
0024000143635	germany
0024000143635	france
0024000145851	france
0024000146087	france
0024000146087	spain
0024000153115	germany
0024000155430	france
0024000160007	france
0024000160113	italy
0024000162957	united-states
0024000163022	france
0024000163022	united-states
0024000163022	guyana
0024000163077	united-states
0024000164814	france
0024000164814	french-polynesia
0024000165002	france
0024000165057	france
0024000195252	france
0024000323204	united-states
0024072000256	united-states
0024094070343	france
0024094070343	united-states
0024094070787	united-states
0024100106851	united-states
0024100122264	united-states
0024100440870	united-states
0024126010224	united-states
0024126016875	united-states
0024126017063	united-states
0024126017094	united-states
0024138012322	united-states
00241939	united-kingdom
0024300031083	united-states
0024300041112	united-states
0024300041204	united-states
0024300041303	united-states
0024300044311	france
0024300044311	united-states
0024300044489	united-states
0024456008007	mexico
0024456010208	mexico
0024456012103	mexico
0024456012110	mexico
0024456031937	mexico
0024456038417	mexico
0024456039544	mexico
0024456070004	mexico
0024456095892	mexico
0024456095908	mexico
0024456095915	mexico
0024456095922	mexico
0024456095939	mexico
0024463061095	mexico
0024463061095	united-states
0024463061163	france
0024463061163	united-states
0024463062160	germany
0024463063167	france
0024463063167	canada
00245838	united-kingdom
0024600010030	united-states
0024600010412	united-states
0024600017008	united-states
00246132	france
00246132	united-kingdom
00248013	france
00248013	united-kingdom
0024842112219	united-states
0024842321116	united-states
0025000054501	france
0025000056017	united-states
0025000056031	united-states
0025000058073	france
0025000100000	united-states
0025110001525	france
00251259	united-kingdom
00252058	france
00252362	france
00252362	united-kingdom
0025293001237	united-states
0025293001503	france
0025293001527	france
0025293001527	canada
0025293001886	france
0025293002197	canada
0025293002449	canada
0025293002661	mexico
0025293002937	mexico
0025293004351	france
0025293600737	canada
0025293600751	canada
0025317129121	united-states
0025317579001	france
0025317579001	united-states
0025317686006	united-states
00253451	united-kingdom
0025500003818	united-states
0025500070858	united-states
00255493	france
00255493	united-kingdom
00255752	united-kingdom
00255783	united-kingdom
00255998	united-kingdom
0025600008195	united-states
0025616102504	australia
0025616102504	united-states
0025616202501	australia
0025616202501	united-states
00256353	france
00256353	united-kingdom
0025638214049	united-kingdom
0025638710022	united-kingdom
0025675051485	belgium
0025675051485	france
0025675051485	united-states
0025675502000	france
0025675502000	united-states
0025675705555	france
00256810	france
00256810	united-kingdom
00257084	france
00257084	united-kingdom
00257091	france
00257091	united-kingdom
0025800022250	united-states
00258738	germany
00259811	france
00262217	france
00262217	united-kingdom
00263290	france
00263290	united-kingdom
00263948	france
00263948	united-kingdom
0026395200160	france
0026395840168	france
0026400227601	united-states
00264224	serbia
00264587	france
00264587	united-kingdom
00265768	france
00265768	united-kingdom
00269346	france
00269636	france
0027000378953	united-states
0027000379097	united-states
0027000390054	france
0027000419021	united-states
0027000488140	united-states
0027000489178	united-states
0027000500347	mexico
0027000623251	united-states
0027328115551	united-states
